city;name;ingredients;preparation;source
Flensburg;Shrimp Salad with Sour Cream and Dill;"1200 g small shrimp; 2 red onions; 2 cups sour cream; 1 bunch dill; 4 tbsp oil; lemon juice; salt; pepper";;https://www.chefkoch.de/rezepte/2469911389044177/Schneller-Krabbensalat.html?portionen=8
Flensburg;Sauerfleisch from Pork Neck;"1 kg boneless pork neck; 1 bottle spirit vinegar; 0.25 bottle white balsamic vinegar; 1 bottle water; 1 onion; 2–3 cloves; 2 juniper berries; 1 bay leaf; 100 g sugar; crushed black or mixed pepper; 2–3 sachets gelatin; salt";Slice the pork thinly and rub well with salt, then let rest briefly. Bring vinegar, water, onion, spices, and sugar to a boil and adjust the balance of sour and sweet. Add the meat and simmer gently for 1.5–2 hours until tender. Remove the meat, optionally strain the cooking liquid, then dissolve the gelatin according to package instructions and stir it into the hot liquid. Arrange the meat in a single layer in a dish, pour the liquid over it, let cool, and refrigerate until fully set.;https://www.chefkoch.de/rezepte/708561173449178/Sauerfleisch-Schleswig-Holsteiner-Art.html?portionen=4
Kiel;Mixed Salad with Kieler Sprotten;"1 head iceberg lettuce; 4 small cucumbers; 4 medium tomatoes; 12 medium mushrooms; 2 medium yellow beets; 32 Kieler sprats; 4 tbsp light balsamic vinegar; 4 tbsp olive oil; 2 tsp honey; salt; pepper";Tear the iceberg lettuce into bite-sized pieces, dice the cucumbers, cut the tomatoes into wedges, and slice the mushrooms and yellow beets thinly. Arrange all ingredients on plates. Whisk balsamic vinegar, olive oil, honey, salt, and pepper into a vinaigrette and drizzle over the salad, then place the sprats on top.;https://www.chefkoch.de/rezepte/3391771504820501/Bunter-Salat-mit-Kieler-Sprotten.html?portionen=4
Kiel;Potato Soup with Bacon;"200 g streaky bacon; 2.67 onions; 133.33 g carrots; 66.67 g celeriac; 800 g potatoes; 1.33 liters meat broth; 1.33 tsp dried marjoram; 2.67 tbsp chopped parsley; salt; pepper; nutmeg";Peel and dice the onions and potatoes, and cut the carrots, celeriac, and bacon into small cubes. Fry the bacon cubes, add the onions and sauté until translucent. Add the vegetables and potatoes, sauté briefly while stirring, then pour in the meat broth and bring to a boil. Season with marjoram, nutmeg, salt, and pepper. Cover and cook for 30 minutes. Serve sprinkled with parsley.;https://www.chefkoch.de/rezepte/466931140109630/Kartoffelsuppe-mit-Speck.html?portionen=4
Lübeck;Caesar Salad with Smoked Fish;"2 romaine lettuces; 400 g smoked fish (e.g., salmon or mackerel); 8 small slices of crusty bread or croutons; 80 g Parmesan cheese, shaved; 4 tbsp olive oil; 2 tbsp lemon juice; 2 tsp Dijon mustard; 2 cloves garlic, minced; 4 tbsp mayonnaise; salt; pepper";Wash and chop the romaine lettuce into bite-sized pieces. Flake the smoked fish into small pieces. For the dressing, whisk together olive oil, lemon juice, mustard, garlic, mayonnaise, salt, and pepper. Toss the lettuce with the dressing, then arrange on plates, top with smoked fish, croutons, and shaved Parmesan.;-
Lübeck;Holsteiner Rübensuppe;"1 kg beets; 2 medium potatoes; 1 large carrot; 1 onion; 1 liter vegetable or meat broth; 2 tbsp butter; 1 tsp sugar; salt; pepper; 2 tbsp cream";Peel and dice the beets, potatoes, carrot, and onion. In a pot, melt butter and sauté the onion until translucent. Add the beets, potatoes, carrot, sugar, and broth, bring to a boil, then simmer until vegetables are tender. Season with salt and pepper, blend until smooth, and stir in cream if desired. Serve hot as an appetizer.;-
Hamburg;Matjessalat Hausfrauen Art;"300 g matjes fillets; 2 large apples; 2 large onions; 250 ml sour cream; salt; pepper; a pinch of sugar; a little mustard; 2 tbsp fresh chopped dill";Cut the matjes fillets into about 1 cm pieces and place in a bowl. Dice the apples and onions and add to the matjes. Stir in the sour cream and season with salt, pepper, mustard, and sugar. Finally, fold in the chopped dill and serve.;https://www.chefkoch.de/rezepte/629021163404532/Matjessalat-Hausfrauen-Art.html
Hamburg;Authentic Eel Soup;"1 ham bone (preferably Holsteiner Katenschinken); 3 liters water; 250 g shelled peas (or frozen green peas); 250 g parsnips, diced; 2 leeks, thinly sliced; 0.5 cup finely chopped herbs (thyme, marjoram, tarragon, dill, parsley, chervil); 0.5 celeriac, finely diced; 200 g dried prunes; 125 g dried apple rings; 500 g firm pears, peeled, quartered, cored; salt; freshly ground pepper; 1 pinch nutmeg; 2 tbsp spirit vinegar; 1 tbsp sugar; 1 tbsp butter; 2 tbsp flour; 800 g fresh eel (or 400 g eel fillets)";"This recipe requires a lot of preparation. Boil the ham bone in 3 liters of water, then simmer partially covered for 1 hour. Meanwhile, soak the prunes and apple rings in hot water. Add peas, parsnips, leeks, and celeriac to the simmering broth, reduce heat, and cook for 30 minutes. Remove the bone, scrape any remaining meat back into the soup. Add soaked prunes and apple rings with their soaking water. Mix butter and flour to thicken the soup, cook for 3 minutes, then season with vinegar, sugar, nutmeg, salt, and pepper. Prepare the eel by filleting and cutting into 1 cm pieces, or use pre-filleted eel. Add the eel and chopped herbs to the soup, simmer gently for 15 minutes. Serve with poached or boiled pears on the side; optional: salt-water cooked flour dumplings and chopped sorrel as garnish.";https://www.chefkoch.de/rezepte/1847441299236816/Authentische-Hamburger-Aalsuppe.html
Rome;Tomato Mozzarella Skewers;"500 g cherry tomatoes; 250 g mini mozzarella balls; 1 bunch fresh basil; 3 tsp pesto alla Genovese; 3 tbsp raspberry vinegar or white wine vinegar; 6 tbsp extra virgin olive oil; salt; freshly ground black pepper";Prepare a marinade by mixing pesto, vinegar, olive oil, salt, and pepper. Drain the mozzarella balls and let them marinate for a short time. Wash the tomatoes and basil. Thread onto toothpicks in the following order: one cherry tomato, one basil leaf, one marinated mozzarella ball, another basil leaf, and a second cherry tomato. Arrange the skewers on a serving plate and drizzle with the remaining marinade.;https://www.chefkoch.de/rezepte/431141134310758/Tomaten-Mozzarella-Spiesse.html
Rome;Pesto Bread;"600 g flour; 300 ml water; 1 packet dry yeast or 1/2 cube fresh yeast; 0.5 tsp sugar; 2 tsp salt; 50 ml olive oil; 1 jar green pesto";Prepare a yeast dough using all ingredients except the pesto. Cover and let rise in a warm place for about 30 minutes. Divide the dough into three equal portions and roll each into a round circle. Place the first dough circle on a baking tray lined with parchment paper and spread generously with pesto. Place the second circle on top and spread with pesto again, then cover with the third circle. Mark 16 segments, leaving a small circle in the center, and cut along the lines. Twist each pair of adjacent segments in opposite directions. Let rest for another 10–15 minutes. Bake at 190–200 °C using top and bottom heat for about 20 minutes. Serve by pulling apart the baked sections.;https://www.chefkoch.de/rezepte/2576581403793589/Pestobrot.html
Paris;Provençal Vegetable Quiche with Goat Cheese;"2 packs puff pastry; 2 eggplants; 2 zucchinis; 2 red bell peppers; 2 onions, finely chopped; oil for frying; 6 eggs; 300 ml cream or milk; salt; freshly ground black pepper; 2 handfuls mountain cheese (such as Gruyère or Appenzeller), grated; 300 g goat cheese or feta cheese";Dice the eggplants, zucchinis, and bell peppers. Finely chop the onions, sauté them in oil until translucent, and allow to cool slightly. Line a tart pan with the puff pastry. Add the onions and vegetables to the pan and lightly season with salt and pepper. Whisk the eggs with the cream, fold in the grated mountain cheese, and season with salt and pepper. Pour the egg mixture over the vegetables. Crumble the goat cheese into small pieces and distribute evenly over the quiche. Bake in a preheated oven at 200 °C  using top and bottom heat until the goat cheese is lightly browned or the pastry edges are golden.;https://www.chefkoch.de/rezepte/1217221227286550/Franzoesische-Gemuesetarte-mit-Ziegenkaese.html?portionen=8
