city;name;ingredients;preparation;source
Flensburg;Red Berry Pudding with Vanilla Sauce;"800 g berries (fresh or frozen); water as needed; 6 packets cake glaze (Tortenguss), more if needed; 4 tbsp sugar; 2 packets vanilla sauce powder; 500 ml milk";"Place berries in a pot, cover lightly with water, bring to a boil. Mix cake glaze with a little water, add to boiling berries, briefly boil, remove from heat, and sweeten with sugar; add extra glaze if needed for thicker consistency. For vanilla sauce, mix powder with cold milk, bring remaining milk to a boil, stir in powder mixture, boil briefly, then cool. Serve both well chilled in dessert bowls. Suitable with all red fruits such as strawberries, raspberries, red currants, or cherries.";https://www.chefkoch.de/rezepte/1949311317122984/Rote-Gruetze-mit-Vanillesosse.html?portionen=8
Flensburg;Apple Cake with Vanilla Pudding;"250 g flour; 100 g sugar; 125 g margarine; 2 packets vanilla sugar; 1 packet baking powder; 1 egg; 1 kg apples; 750 ml apple juice; 180 g sugar; 2 packets vanilla pudding powder";Make a dough from flour, sugar, margarine, vanilla sugar, baking powder, and egg. Line a springform pan with the dough, pulling the edges up. Peel, core, and chop apples, place in pan. Bring apple juice and sugar to a boil, mix some cold juice with pudding powder, stir into boiling juice until thickened. Pour pudding over apples, bake at 175°C for 1 hour, covering with parchment toward the end to prevent over-browning.;https://www.chefkoch.de/rezepte/1523021257509656/Saterlaender-Apfelkuchen.html?portionen=1
Kiel;Oat Bran Pancakes with Apple Compote;"16 tbsp oat bran flakes; 8 tbsp whole wheat flour; 500 ml milk (1.5% fat); 4 eggs (medium); 8 tbsp low-fat quark; 2 tsp salt; 4 tsp vegetable oil; 4 jars unsweetened apple compote (350 g each)";Mix oat bran, whole wheat flour, milk, egg whites, quark, and salt thoroughly with a mixer. Heat oil in a pan, pour batter with a ladle, and fry small pancakes 3–4 minutes per side until crispy and golden. Serve with apple compote.;https://www.chefkoch.de/rezepte/3662321551387142/Fettarme-Hafer-Pfannkuchen-mit-Apfelkompott.html?portionen=8
Kiel;Quark-Mandarin Dessert;"1000 g low-fat quark; 2 cups cream; 2 small cans drained mandarins; 6 tbsp sugar (adjust to taste or use sweetener); 2 packets vanilla sugar";Whip cream with vanilla sugar until stiff. Mix quark with remaining sugar until smooth, fold in whipped cream. Blend mandarins with a mixer, leaving small pieces for texture, and fold into quark mixture. Optionally, use 20% quark without cream and sweetener to reduce calories.;https://www.chefkoch.de/rezepte/510171146654147/Mandarinen-Quarkspeise-nach-Tanjas-Art.html?portionen=8
Lübeck;Marzipan Cake;"175 g wheat flour; 75 g sugar; 100 g butter or margarine; 1 egg; 4 eggs; 4 tbsp hot water; 130 g sugar; 1 packet vanilla sugar; 100 g wheat flour; 2 tsp baking powder; 100 g cornstarch; 200 g walnuts; 100 g marzipan; 60 g sugar; 5 cups sweet cream (200 g each); 2 packets instant gelatin; 0.5 jar apricot jam; 1 marzipan cover";Make shortcrust dough, rest 1 hour in fridge, roll out and bake 15–20 min, cut to size. For sponge, beat eggs with hot water, add sugar and vanilla sugar, fold in sifted flour, baking powder, cornstarch, bake 35 min, cool and slice twice. Caramelize chopped walnuts with sugar, mix with marzipan, cool. Whip cream with gelatin and fold in nut-marzipan mix. Assemble cake: spread apricot jam on shortcrust, layer sponge and cream-nut mixture, repeat, chill several hours or overnight. Cover with whipped cream and marzipan sheet, decorate with remaining walnuts. This recipe takes a long time to prepare.;https://www.chefkoch.de/rezepte/1493701254347897/Marzipantorte-Luebecker-Art.html
Lübeck;Marzipan-Apple Muffins with Cinnamon Streusel;"100 g butter; 200 g flour; 2 tsp baking powder; 100 g marzipan; 2 eggs; 200 g sour cream; 80 g sugar; 1 tsp cinnamon; 2 small apples (200–300 g) | For streusel: 70 g butter; 1 tsp cinnamon; 100 g flour; 70 g sugar; 1 pinch salt | For glaze: 24 tbsp powdered sugar; 4 tbsp lemon juice";Cut marzipan into small pieces, peel and slice apples. Mix butter and sugar, add eggs, sour cream, and cinnamon. Fold in sifted flour and baking powder, then marzipan and apples. Melt butter for streusel, mix with remaining ingredients, sprinkle over muffins. Bake at 180?°C for 25–30 min. Mix powdered sugar with lemon juice and drizzle over cooled muffins.;https://www.chefkoch.de/rezepte/1822771295801153/Marzipan-Apfel-Muffins-mit-Zimtstreuseln.html
Hamburg;Franzbrötchen;"Ingredients for dough: 250 g flour; 20 g yeast; 35 g sugar; 125 ml lukewarm milk; 35 g butter; ½ pinch salt; zest of ½ lemon | For filling: 100 g butter; 100 g sugar; 1 tsp cinnamon; flour for rolling; fat for baking sheet";Mix flour, yeast, ½ sugar, and milk in a bowl, let yeast dissolve. Add butter, remaining sugar, salt, and lemon zest. Knead to a smooth dough, cover, and let rise in a warm place until doubled, 30–40 min. Roll dough to rectangle ~30×25?cm. Layer with butter slices, fold, roll to 30×50?cm, fold into thirds, chill 15?min. Roll to 80×40?cm, brush with water, sprinkle with cinnamon sugar. Roll into log, cut into 4?cm pieces, press with spoon handle. Place on greased baking sheet, let rise 15–20?min. Bake at 200?°C for 15–25?min.;https://www.chefkoch.de/rezepte/42601014552126/Franzbroetchen.html
Hamburg;Apple Compote with Cinnamon Cream and Crumble;"560 g apples, peeled and sliced; 3.2 tbsp raw cane sugar; 0.8 tonka bean, grated | For the cream: 560 ml milk; 1.6 tbsp raw cane sugar; 1.6 packets instant custard powder; 3.2 tsp ground cinnamon; 160 ml liquid cream | For the crumble: 40 g butter; 40 g raw cane sugar; 160 g spelt flour type 630; 3.2 pinch ground cinnamon";Cook apple slices with sugar and tonka bean for 3 min., then cool. Cook milk with sugar, custard powder, and cinnamon into thick custard, cover and cool, fold in cream. Mix butter, sugar, flour, and cinnamon for crumble, bake at 180?°C for 15–20 min. Layer in dessert glasses: 1 tbsp compote, 2 tbsp cinnamon cream, remaining compote, chill, sprinkle crumble on top before serving.;https://www.chefkoch.de/rezepte/4062341631962559/Apfelkompott-mit-Zimtcreme-und-Streuseln.html?portionen=8
Rome;Espresso Cream;"16 sheets gelatin; 8 packets vanilla sugar; 1 liter espresso coffee; 12 egg yolks; 240 g sugar; 800 g heavy cream; sour cherries, optional";Soak the gelatin sheets in cold water until softened. Gently heat the espresso in a double boiler, taking care not to let it boil. Gradually whisk in the egg yolks one by one, followed by the vanilla sugar and granulated sugar. Continue whisking the mixture over the water bath until it thickens. Add the soaked but undissolved gelatin directly to the cream and continue whisking until fully incorporated. Remove the bowl from the heat and continue whisking for a few minutes until the mixture cools slightly. Whip the cream until stiff and gently fold it into the espresso mixture. Spoon the cream into dessert glasses and chill for about 3 hours before serving. The dessert pairs exceptionally well with sour cherries.;https://www.chefkoch.de/rezepte/1067581212248129/Espressocreme.html?portionen=8
Rome;Panna Cotta;"24 tbsp heavy cream (or crèmefine); 1000 ml milk; 4 vanilla pods (or 1 packet vanilla sugar); 12 sheets gelatin; 8 tbsp sugar; fruit sauce of compote";Combine the cream and milk in a saucepan. Add the vanilla pods and sugar and bring to a boil. Let the mixture simmer gently for about 10 minutes. Meanwhile, soak the gelatin sheets in cold water according to package instructions. Squeeze out the excess water and dissolve the gelatin in the hot milk mixture. Pour the mixture into suitable molds or glasses and chill for about 2 hours until set. Turn the panna cotta out onto plates and serve. It is best accompanied by a fruit sauce or fruit compote.;https://www.chefkoch.de/rezepte/968571202541700/Leichte-Panna-Cotta.html?portionen=8
