city;name;ingredients;preparation;source
Flensburg;Pannfisch with Fried Potatoes and Mustard Sauce;"2 kg medium firm potatoes; 2 bunches spring onions; 10 medium mushrooms; 1600 g fish fillets (e.g., cod, pollock, haddock, or redfish); 6 tbsp lemon juice; 300 g butter; 160 g mustard; 4 egg yolks; 300 g natural yogurt; salt; pepper; 2 splashes lemon juice; oil or clarified butter; flour; parsley, dill, or herbs of choice, chopped";Boil the potatoes in salted water as jacket potatoes. Clean and slice the spring onions and mushrooms. Wash, dry, and cut fish fillets into 16 pieces, drizzle with 3 tbsp lemon juice. For the mustard sauce, melt 150 g butter over low heat, warm mustard and egg yolks over a water bath while whisking, gradually add melted butter until slightly thickened, then stir in yogurt. Season with salt, pepper, and lemon juice and keep warm. Peel and slice potatoes, fry in hot oil or clarified butter until golden, add spring onions and mushrooms, cook 3 more minutes. Coat fish with flour, salt, and pepper, fry in a separate pan about 3 minutes per side. Serve fried potatoes topped with fish, sprinkle with fresh herbs, and serve with mustard sauce.;https://www.chefkoch.de/rezepte/1230901228137849/Feiner-Pannfisch-mit-Bratkartoffeln-und-Senfsauce.html?portionen=8
Flensburg;Labskaus with Matjes and Fried Egg;"4 kg potatoes; 300 g pickled gherkins; 400 g beetroot (from jar); 200 ml milk; 4 cans corned beef (340 g each, not cured); 8 eggs; 8 matjes fillets; 400 g butter or margarine; 400 g breadcrumbs; 4 onions, sliced; salt; pepper";Peel and boil potatoes in salted water until soft. Dice gherkins and beetroot, slice onions, and prepare eggs, butter, and breadcrumbs. Mash the cooked potatoes with corned beef, season with salt and pepper, then fold in gherkins and beetroot, keeping some pieces whole. Fry the eggs sunny-side up and toast breadcrumbs in butter. Serve the mashed mixture topped with fried eggs, toasted breadcrumbs, and matjes fillets.;https://www.chefkoch.de/rezepte/1973321320472267/Labskaus-mit-Matjes-und-Spiegelei.html?portionen=8
Kiel;Cod with Vegetables, Potatoes, and Mustard Sauce;"3 kg whole cod; 2 kg small firm potatoes; 3 liters dry white wine; 800 g carrots; 800 g leeks; 120 g mushrooms; 80 g fennel; 120 g celery; 4 untreated lemons; 1 bunch parsley; 1 bunch chervil; 1 bunch dill; 6 shallots; 10 garlic cloves; 8 tbsp butter; 6 sprigs lemon thyme; 2 jars vegetable stock; 2 cups sweet cream; 2 tbsp flour; 6 tbsp Dijon mustard; salt; pepper";Clean and roughly chop celery, fennel, and mushrooms. Finely dice shallots and garlic, chop lemon thyme. Sauté shallots, garlic, vegetables, and thyme in 2 tbsp butter, sprinkle with flour, then deglaze with vegetable stock and reduce by half. Add cream and lemon juice, bring to a boil, season with salt and pepper, blend until smooth, strain if desired, stir in mustard, and keep warm. Peel, wash, and boil potatoes. Slice remaining lemons. Rinse and dry fish, cut into four pieces. Bring 2 liters water, 2 tsp salt, white wine, and lemon slices to a simmer, cook fish gently for 17 minutes. Julienne carrots and leeks, sauté with 2 tbsp butter for 5 minutes, season with salt and pepper. Chop parsley, dill, and chervil. Drain potatoes and fish, plate with vegetables, pour mustard sauce over fish, and garnish with chopped herbs.;https://www.chefkoch.de/rezepte/2386901378119702/Achims-Dorsch-spezial.html?portionen=8
Kiel;Kale with Grützwurst;"2 kg frozen kale; 2.67 medium onions; 400 g smoked belly bacon; 1.33 tbsp lard, goose fat, or clarified butter; 8 cooking sausages/Mettenden; 10.67 Pinkel sausages (Grützpinkel); 1066.67 g Kasseler (neck or lean pork); 1.33 cubes meat broth; lukewarm water; salt; pepper; 1.33 tsp mustard; 1.33 pinch sugar";Dice onions and sauté in fat until golden, add large pieces of bacon and briefly fry. Rinse and drain kale, add to onions and bacon with lukewarm water and meat broth cube, simmer gently. Add two Grützpinkel sausages with casings, cover, simmer, then remove casings and stir filling into kale. Add mustard and Kasseler, simmer gently, stirring occasionally and adjusting seasoning. Place Mettenden/cooking sausages on top, continue simmering. Best if cooled overnight and slowly reheated. Serve with boiled potatoes.;https://www.chefkoch.de/rezepte/2271461362609980/Gruenkohl-mit-Gruetzwurst-Pinkel-nach-Bremerhavener-Art.html?portionen=8
Lübeck;Finkenwerder-Style Plaice with Bacon Topping;"4 plaice or 2 plaice fillets; 800 g onions; 800 g bacon; flour for dusting; 12 tbsp butter; 8 tbsp chopped parsley; lemons for serving; oil";If using whole fish, fillet by removing the backbone, tail, and head, then cut fillets close to the bones. Dust fillets with flour and pan-fry in oil, skin-side first, for 2–3 minutes per side. In a separate pan, sauté onions and bacon until onions are translucent and bacon is crispy, then add a piece of butter. Add a piece of butter to the fish and drizzle melted butter over fillets. Chop parsley and mix into the bacon-onion topping, then spread over the fish and serve. Serve with fried potatoes.;https://www.chefkoch.de/rezepte/3112311464168392/Scholle-nach-Finkenwerder-Art.html?portionen=8
Lübeck;Kale with Kasseler;"1400 g kale; 2 onions; 60 g clarified butter; salt; 500 ml vegetable broth; 200 ml apple juice; 8 Mettenden sausages; 4 slices pork belly; 2 kg Kasseler neck; 6 tbsp oats; pepper; 6 tbsp hot mustard";Strip kale from ribs, wash thoroughly, boil 10 minutes, drain, rinse, squeeze out excess water, and chop coarsely. Slice onions. Heat butter, sauté onions 2 minutes, add kale and sauté 2 more minutes. Add broth, apple juice, and meat pieces, simmer 25 minutes. Stir in oats, cook 2 more minutes, season with salt and pepper, and mix in mustard.;https://www.chefkoch.de/rezepte/1316691236348617/Gruenkohl-mit-Kasselernacken.html?portionen=8
Hamburg;Beef Roulade with Apple Red Cabbage and Mashed Potatoes;"8 beef roulades; 16 pickles; 320 g Dijon mustard; 24 slices bacon; 3.2 onions; 3.2 tbsp clarified butter; salt; pepper; 800 g soup vegetables; 3.2 onions; 3.2 tbsp clarified butter; 1.6 tbsp sugar; 800 ml red wine; 3.2 tsp tomato paste; 640 ml beef stock; 80 g butter; salt; pepper; 1.6 kg red cabbage; 3.2 apples; 3.2 tbsp sugar; 3.2 tbsp balsamic vinegar; 400 ml water; 160 ml red wine; 1.6 onions; 0.8 tsp ground cloves; 3.2 bay leaves; 4.8 tbsp clarified butter; 1.6 kg starchy potatoes; 160 g butter; nutmeg; 240 ml cream; salt; pepper";This recipe takes a lot of time. Slice pickles and onions. Season roulades with salt and pepper, spread mustard on one side, top with bacon, onion rings, and pickles, fold and roll tightly, secure with skewers. Brown roulades in clarified butter, remove from pan. Dice soup vegetables and onions, sauté 10 minutes in 2 tbsp butter, add tomato paste and sugar, gradually add red wine, reduce, then add beef stock, bring to boil, return roulades, simmer covered for 2 hours, turning occasionally and basting with sauce. Remove roulades, strain sauce, return to pan, stir in butter, reheat, return roulades for 15 minutes. Prepare red cabbage by removing outer leaves, quartering, removing core, finely slicing. Grate apples, dice onions, sauté in butter with sugar, add cabbage, vinegar, cook 10 minutes, add water, wine, bay leaves, cloves, salt, simmer 40 minutes. For mashed potatoes, peel and cube potatoes, boil 30 minutes, drain, mash with butter and cream, season with nutmeg, salt, and pepper. Serve roulades with apple red cabbage and mashed potatoes.;https://www.chefkoch.de/rezepte/4101151645010801/Rinderroulade-mit-Apfelrotkohl-und-Kartoffelstampf.html?portionen=8
Hamburg;Hamburg-Style Pannfisch;"800 g firm potatoes; 500 g fish fillets (e.g., pollock, cod, or haddock); flour for coating; salt; pepper; lemon juice; 1 tbsp butter; 5 tbsp neutral oil; 1 small leek (white part); 30 g butter; 25 g flour; 250 ml fish stock or vegetable broth; 50 ml cream; 2 tbsp Dijon mustard; salt; pepper; optional lemon juice";Cut fish fillets into sticks, season with lemon juice, salt, and pepper, chill. Boil potatoes 20 minutes, drain, cool, peel, and slice. For sauce, quarter leek lengthwise, slice crosswise, melt butter, stir in flour until smooth, gradually add stock and cream, add leek, simmer, stir in mustard, season with salt, pepper, and optional lemon juice. Heat 3 tbsp oil and 1 tbsp butter, sauté onions, add potato slices, fry until crispy, keep warm. Lightly coat fish in flour, fry 3–4 minutes until crispy, keep warm. Serve fried potatoes topped with fish, pour sauce around, optionally with cucumber or leaf salad. For best results, cook potatoes the day before so they dry slightly, and prepare sauce first, keeping it warm while frying potatoes and fish.;https://www.chefkoch.de/rezepte/2447531385566399/Hamburger-Pannfisch.html
Rome;Spaghetti Bolognese;"166.67 g butter; olive oil, a small amount; 2.67 large onions; 4 carrots; 4 celery stalks; 1.33 kg ground beef; white wine, a splash; milk, as needed (approx. 250–500 ml depending on sauce quantity); 2 cans tomatoes (400 g each); 4 garlic cloves, sliced; 4 chili peppers, crushed; sea salt; freshly ground black pepper; 800 g spaghetti / pasta";The most important part of a proper Bolognese is the soffritto. Melt a generous amount of butter together with a little olive oil in a pan to prevent the butter from burning. Clean and peel the onions, carrots, and celery, then finely chop them. Cook the vegetables gently over very low heat for at least 30 minutes, stirring occasionally, until soft, translucent, and aromatic. The vegetables should sweat slowly and must not brown. In a separate pan, sear the ground beef over high heat until it develops a deep color. Deglaze with a splash of white wine, scraping up any browned bits from the pan. Depending on the amount of sauce, add about 250–500 ml of milk, which will mellow the flavor of the meat. Once the mixture comes to a gentle boil, add the canned tomatoes. Tomatoes similar to San Marzano are ideal due to their natural sweetness. When the sauce begins to simmer again, stir in the prepared soffritto. Add the sliced garlic and crushed chili peppers, then season with sea salt and freshly ground black pepper. Let the sauce simmer gently for as long as possible—ideally about 5 hours, but at least 2 hours. Add a little water or light broth occasionally if needed to prevent sticking. Cook the spaghetti in salted water according to package instructions and serve with the Bolognese sauce.;https://www.chefkoch.de/rezepte/772011180069862/Die-echte-Sauce-Bolognese.html?portionen=8
Rome;Italian Pizza;"Dough: 500 ml lukewarm water; 25 ml olive oil; 40 g fresh yeast; 20 g salt; 1 pinch sugar; 925 g all-purpose flour; any toppings you like";Dissolve the yeast together with the salt and sugar in the lukewarm water and olive oil. Add the flour and knead into a smooth dough. Let the dough rise in a warm place for about 30 minutes, then knead again. Cover and refrigerate the dough for up to 2 days to allow it to develop flavor. The dough is sufficient for about 6 round pizzas. Shape and bake the pizzas as desired. Top with tomato sauce, cheese, and any toppings you like.;https://www.chefkoch.de/rezepte/716331174378295/Italienischer-Pizzateig.html
